revenue_id,deal_id,company_id,fee_type,amount_usd,currency,year,quarter,transaction_date,payment_status,service_line,client_repeat
RV0001,DL0198,CO0301,Success Fee,178100,USD,2024,Q1,2024-05-18,Paid,M&A Advisory,1
RV0002,,CO0077,Project Fee,36300,USD,2023,Q2,2024-12-04,Pending,Strategic Advisory,0
RV0003,DL0245,CO0230,Success Fee,111500,USD,2023,Q2,2023-11-16,Paid,Fundraising,1
RV0004,,CO0167,Due Diligence Fee,35000,INR,2024,Q4,2022-09-05,Paid,M&A Advisory,1
RV0005,DL0216,CO0066,Success Fee,281300,USD,2024,Q2,2024-12-07,Paid,Investor Matching,1
RV0006,,CO0032,Project Fee,45800,INR,2024,Q2,2024-01-27,Paid,Investor Matching,0
RV0007,DL0086,CO0096,Success Fee,416800,USD,2023,Q3,2022-10-05,Paid,Strategic Advisory,0
RV0008,,CO0058,Due Diligence Fee,29200,AED,2022,Q1,2024-12-28,Paid,Investor Matching,1
RV0009,DL0058,CO0104,Success Fee,118400,USD,2023,Q2,2024-02-08,Paid,Investor Matching,0
RV0010,,CO0312,Project Fee,59000,USD,2024,Q2,2024-07-19,Paid,M&A Advisory,0
RV0011,,CO0134,Retainer,13300,AED,2024,Q1,2022-03-22,Paid,M&A Advisory,1
RV0012,DL0068,CO0217,Success Fee,714100,USD,2021,Q3,2022-02-16,Paid,Strategic Advisory,1
RV0013,,CO0067,Retainer,21600,AED,2023,Q4,2022-03-06,Paid,Fundraising,1
RV0014,,CO0466,Valuation Fee,13900,USD,2023,Q4,2024-07-02,Paid,Strategic Advisory,0
RV0015,DL0031,CO0178,Success Fee,247500,USD,2024,Q2,2022-08-19,Pending,Due Diligence,1
RV0016,,CO0374,Due Diligence Fee,22900,INR,2024,Q3,2024-11-07,Paid,Investor Matching,0
RV0017,,CO0247,Retainer,15200,USD,2023,Q4,2022-12-09,Paid,Fundraising,1
RV0018,,CO0294,Due Diligence Fee,16600,AED,2021,Q4,2024-10-09,Pending,M&A Advisory,1
